"第1题：您的年龄段是？[单选题]","",""
"选项","小计","比例"
"A. 18岁以下","2","2.13%"
"B. 18-25岁","46","48.94%"
"C. 26-35岁","5","5.32%"
"D. 36-45岁","13","13.83%"
"E. 45岁以上","28","29.79%"
"本题有效填写人次","94",""
"","",""
"第2题：【可选题】请问您的职业是？[单选题]","",""
"选项","小计","比例"
"A. 在校大学生","44","46.81%"
"B. 中小学 / 幼儿园学生","2","2.13%"
"C. 教师 / 教育工作者","13","13.83%"
"D. 企业 / 公司职员","26","27.66%"
"E. 自由职业者","2","2.13%"
"F. 退休人员","5","5.32%"
"G. 其他（可补充） [详情]","1","1.06%"
"(空)","1","1.06%"
"本题有效填写人次","94",""
"","",""
"第3题：您平均每年参观博物馆/美术馆/文化遗址的频率是？[单选题]","",""
"选项","小计","比例"
"A. 几乎不去","19","20.21%"
"B. 1-2次（偶尔打卡）","54","57.45%"
"C. 3-5次（比较有兴趣）","16","17.02%"
"D. 5次以上（重度爱好者）","5","5.32%"
"本题有效填写人次","94",""
"","",""
"第4题：您参观博物馆的主要原因是什么？[多选题]","",""
"选项","小计","比例"
"感受历史","71","75.53%"
"拍照打卡","15","15.96%"
"休闲放松","34","36.17%"
"假日出游","32","34.04%"
"欣赏文物","40","42.55%"
"享受独处","7","7.45%"
"补充 [详情]","2","2.13%"
"本题有效填写人次","94",""
"","",""
"第5题：在参观博物馆时，您是否使用过以下数字化服务/新兴技术？[多选题]","",""
"选项","小计","比例"
"A. 官方微信小程序/公众号（用于预约、看图文介绍）","70","74.47%"
"B. 传统语音导览设备","39","41.49%"
"C. AR（增强现实）实景互动（如：用手机扫一扫让文物“活”过来）","31","32.98%"
"D. VR（虚拟现实）线上全景数字博物馆","22","23.4%"
"E. 基于地理位置的互动小游戏（如：数字集章、解谜打卡）","14","14.89%"
"F.手机语音讲解","28","29.79%"
"G. 都没有使用过","3","3.19%"
"本题有效填写人次","94",""
"","",""
"第6题： 在使用现有的博物馆导览或数字化服务时，您遇到过哪些不好的体验？[多选题]","",""
"选项","小计","比例"
"A. 官方科普内容太枯燥/专业，难以理解，缺乏趣味性","39","41.49%"
"B. 小程序/App操作复杂，加载慢，或者AR功能识别不准","31","32.98%"
"C. 体验太“孤独”，只能单向接收信息，无法和其他观众互动","34","36.17%"
"D. 看完就结束了，无法留下属于我自己的参观痕迹或故事","34","36.17%"
"E. 租借设备麻烦，或者手机导览太耗电","25","26.6%"
"F.导览设备故障/不洁 [详情]","10","10.64%"
"G. 其他：________________ [详情]","5","5.32%"
"本题有效填写人次","94",""
"","",""
"第7题：你是否分享过你的“博物馆故事”，如打卡拍照发到朋友圈和好朋友推荐藏品故事等[单选题]","",""
"选项","小计","比例"
"是","49","52.13%"
"否","45","47.87%"
"本题有效填写人次","94",""
"","",""
"第8题：在记录和分享您的“博物馆故事”时，您最大的困难是什么？[多选题]","",""
"选项","小计","比例"
"A. 展品背景知识不足，不知道文案怎么写才有趣/有深度","40","42.55%"
"B. 现场人多光线暗，拍不出好看的照片或视频素材","42","44.68%"
"C. 整理照片和编辑文字太耗费时间","34","36.17%"
"D. 分享后互动少，找不到志同道合的人交流","18","19.15%"
"E. 我不怎么分享（选此项跳过）","21","22.34%"
"本题有效填写人次","94",""
"","",""
"第9题：相比于官方的“正经科普”，您是否对其他普通游客留下的“个人故事/感悟/攻略”感兴趣？[单选题]","",""
"选项","小计","比例"
"A. 非常感兴趣，觉得更有温度、有共鸣，甚至会跟着别人的攻略走","21","22.34%"
"B. 比较感兴趣，可以作为看展的补充视角","39","41.49%"
"C. 一般，我只关心展品本身和官方介绍","29","30.85%"
"D. 完全不感兴趣","5","5.32%"
"本题有效填写人次","94",""
"","",""
"第10题：您心中合格的数字交互最重要的是？[多选题]","",""
"选项","小计","比例"
"A.上手简单无需学习","55","58.51%"
"B.流畅不卡顿","49","52.13%"
"C.不打扰他人","34","36.17%"
"D.趣味性强","52","55.32%"
"E.信息实用准确","31","32.98%"
"补充 [详情]","0","0%"
"本题有效填写人次","94",""
"","",""
"第11题：您更喜欢的信息展示方式是？[多选题]","",""
"选项","小计","比例"
"A.简洁图文","46","48.94%"
"B.短视频","38","40.43%"
"C.3D文物模型","46","48.94%"
"D.历史场景动画","49","52.13%"
"E.时间线/地图叙事","27","28.72%"
"补充__________ [详情]","0","0%"
"本题有效填写人次","94",""
"","",""
"第12题：您使用数字交互的主要时段/目的是？[多选题]","",""
"选项","小计","比例"
"A.入馆前规划","29","30.85%"
"B.参观中实时讲解","80","85.11%"
"C.参观后回顾","31","32.98%"
"D.纯线上云参观","17","18.09%"
"E.其他 [详情]","0","0%"
"本题有效填写人次","94",""
"","",""
"第13题：对于线上浏览博物馆文物等技术的接受、喜爱程度[单选题]","",""
"选项","小计","比例"
"非常喜爱，认为是极佳的创新体验","20","21.28%"
"比较喜爱，觉得能满足基本需求","34","36.17%"
"一般，没有特别的偏好","29","30.85%"
"不太喜爱，体验不如线下","9","9.57%"
"非常不喜爱，完全无法接受线上替代","2","2.13%"
"本题有效填写人次","94",""
"","",""
"第14题：如果我们开发一款结合新技术的博物馆App/小程序，您对以下哪些“好玩（Playful）”的功能最感兴趣？【矩阵量表题：1分表示非常不感兴趣，2分表示不感兴趣,3分表示还行,4分表示感兴趣,5分表示非常感兴趣】[矩阵滑动条]","",""
"行标题","平均值",""
"【AR时空留言板】：走到特定展品前，用手机扫一扫，能看到以前的游客在半空中留下的虚拟弹幕、语音故事或手绘涂鸦，您也可以留下自己的。（结合AR + 位置服务）","3.35 [详情]",""
"【AI故事共创助手】：拍下您喜欢的展品，输入您的心情（如：震撼、搞笑），AI会自动帮您生成一篇带有精美排版的“专属文物日记”，方便一键分享。（结合GenAI生成式人工智能）","3.3 [详情]",""
"【我的3D数字微型博物馆】：参观结束后，系统会根据您看过的展品和留下的故事，自动生成一个属于您个人的“线上3D虚拟展厅”，您可以邀请朋友在线上来参观。（结合线上线下Hybrid体验）","3.49 [详情]",""
"【文物“活”起来与我对话】：通过AR技术，让展品（如古代画作里的人物）在手机屏幕里动起来，并以第一人称向您讲述它的历史故事。（结合AR沉浸式体验）","3.55 [详情]",""
"","小计：13.69  平均值：3.42",""
"","",""
"第15题：如果要让您的下一次博物馆之旅变得更加“好玩（Playful）”和难忘，您还有什么天马行空的想象或建议吗？[填空题]","",""
"互动","4",""
"博物馆","3",""
"文物","3",""
"讲解","2",""
"数字化","2",""
"人类","2",""
"历史","2",""
"增加","2",""
"项目","2",""
"进行","2",""
"体验","2",""
"展示","2",""
"会有","1",""
"小伴手礼","1",""
"想不到","1",""
"暂时没有","1",""
"打造","1",""
"ip","1",""
"属性","1",""
"文创","1",""
"收集","1",""
"类产品","1",""
"三个","1",""
"维度","1",""
"前期","1",""
"宣传","1",""
"具体","1",""
"特色","1",""
"推广","1",""
"亟需","1",""
"亮点","1",""
"才能","1",""
"促进","1",""
"了解","1",""
"兴趣","1",""
"参观","1",""
"中期","1",""
"无脑","1",""
"适合","1",""
"拍照","1",""
"打卡","1",""
"环节","1",""
"记得","1",""
"之前","1",""
"一步","1",""
"地上","1",""
"花开","1",""
"一下子","1",""
"非常","1",""
"好玩","1",""
"","",""
"第16题：[可选题]是否愿意参加后续研究，如果是，请留下您的联系方式（VX）[填空题]","",""
"否","7",""
"15690665660","1",""
"1833678030","1",""
"rickysun21","1",""
"谢谢","1",""
"不用","1",""
"张单","1",""
"17537970093","1",""
